"event","date"
"出生了","1988-05-18"
"第一次算紫微斗數","2014-05-03"
"第一次看小說看到哭","2012-08-23",
"第一次在部隊被罰站","2012-08-09",
"第一次在豐原火車站賣藝 with Igor","2012-07-08",
"第一次用橡皮筋殺死蒼蠅","2012-06-05",
"第一次站哨","2012-01-15",
"第一次走夜行軍","2011-12-11",
"第一次當兵（也不會再有下一次了）","2011-10-20",
"第一次被當皮球踢","2011-08-18",
"第一次自己打耳洞","2011-07-03",
"第一次衝浪，而且第一次衝浪就站起來哈哈","2011-06-03",
"第一次抓藥","2011-03-17",
"第一次碰到文湖線故障","2011-03-12",
"第一次做蘿蔔糕但失敗了...","2011-02-15",
"第一次參加總統府升旗","2011-01-01",
"第一次報paper","2010-12-27",
"第一次玩freehug","2010-12-25",
"第一次下象棋盲棋with鎮萬勛","2006-10-27",
"第一次燙頭髮","2007-04-08",
"第一次教視障的小孩","2008-03-01",
"第一次打耳洞","2008-03-16",
"第一次看電影看到大哭（九降風）","2008-09-05",
"第一次搓洗面乳搓出泡沫來","2008-09-12",
"第一次在強烈颱風中打網球","2008-09-13",
"第一次參加面試","2008-09-19",
"第一次為了玫瑰而掉淚","2008-10-11",
"第一次用牙線剃牙","2008-10-16",
"第一次跟業界合作舉辦講座-江亦帆數位音樂中心","2008-12-04",
"第一次聽李敖演講","2008-12-15",
"第一次做餅乾","2008-12-23",
"第一次整天戴聖誕帽","2008-12-24",
"第一次邊奔跑邊跨年","2008-12-31",
"第一次辦網路個人音樂會","2009-01-01",
"第一次半夜2-3點坐機車到台中","2009-01-01",
"第一次發飆","2009-02-08",
"第一次染頭髮","2009-02-09",
"第一次在戶外創作音樂","2009-02-12",
"第一次開始會打鼓","2009-03-19",
"第一次牽心愛的女生的手","2009-04-04",
"第一次在活大舞台表演","2009-05-14",
"第一次生氣砸東西(被砸的是兩個孔雀香酥脆)","2009-06-15",
"第一次用粉刺貼","2009-06-19",
"第一次幫卡通配音","2009-06-20",
"第一次開車","2009-06-23",
"第一次作臉跟敷臉","2009-06-23",
"第一次噴漆塗鴉","2009-07-17",
"第一次自己去游泳","2009-07-20",
"第一次餵老虎","2009-08-06",
"第一次用SKYPE唱KTV","2009-08-07",
"第一次英文面試(十傑)","2009-10-10",
"第一次被教授罵","2009-10-10",
"第一次大哭時是戴著隱形眼鏡的","2009-11-28",
"第一次邊大哭邊大笑:)","2009-11-28",
"第一次看到咖哩調理包在小七的微波爐裡炸裂","2009-12-07",
"第一次被聖誕老公公發糖果","2009-12-25",
"第一次穿聖誕老人裝去上課","2009-12-25",
"第一次彈吉他唱歌跨年","2010-01-01",
"第一次把鹽當成起司粉加到飯裡","2010-01-16",
"第一次接觸管束少年@桃園少輔院","2010-02-01",
"第一次和一群師父吃飯","2010-02-01",
"第一次被調整骨頭@台南","2010-02-04",
"第一次搭和欣客運from高雄to台中","2010-02-05",
"第一次被丟到水裡","2010-02-08",
"第一次和Open醬合照with小華","2010-02-11",
"第一次在宿舍走廊裸奔(去洗澡來回)","2010-02-16",
"第一次在一天內被同一個傳教的搭訕兩次","2010-03-12",
"第一次剪海芋的莖","2010-03-17",
"第一次被外國人問路","2010-03-17",
"第一次在總圖後的草皮放山雞","2010-03-24",
"第一次參加台大文學講評分,第一次在會場朗讀分數.","2010-05-23",
"第一次吃到咬下時餡會從另一端掉出來的紅豆餅.","2010-05-23",
"第一次參加自己辦的播穗典禮","2010-06-05",
"第一次辦自己參加的播穗典禮","2010-06-05",
"第一次在自動販賣機投了164元","2010-06-05",
"第一次被守衛跟監(with元慶@總統府)","2010-07-17",
"第一次被警察臨檢(with元慶@總統府)","2010-07-17",
"第一次搭訕外國人","2010-07-26",
"第一次交外國朋友,和外國人交換電話","2010-07-26",
"第一次在大學做投影片","2010-07-28",
"第一次英文演講","2010-07-29",
"第一次被蜜蜂螫","2010-08-06",
"第一次徒手抓蒼蠅","2010-08-07",
"第一次開心得發現拼圖式地磚呵呵笑還被哈利發現","2010-08-11",
"第一次泡茶","2010-08-12",
"第一次用手動刮鬍刀刮鬍子","2010-08-21",
"第一次發現不能用手去碰刮鬍刀的刀片,不然手會受傷","2010-08-21",
"第一次用手動刮鬍刀刮鬍子沒流血.","2010-08-23",
"第一次街頭賣藝賺錢","2010-08-25",
"第一次在總圖草皮看到螢火蟲","2010-08-27",
"第一次打電話報警","2010-09-16",
"第一次擔任面試官","2010-09-25",
"第一次自己詢問應徵工作","2010-10-05",
"第一次被想打工的店家拒絕","2010-10-15",
"第一次使用市府通報電話1999","2010-10-17",
"第一次被鎖在15樓高的頂樓","2010-11-17",
"第一次單獨被外國人問路(一個韓國男生和一個莫斯科女生)(上次是跟元慶)","2010-12-01",
"第一次花錢燙頭髮","2010-12-01",
